name,prodi,scholar_id,sim_url
"KARTINI, S.Kom, MMSI",Sistem Informasi,dVr6ldMAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=QzZ0Zjd4ZmlRWTR5eExIYzM5eHVid1BqVUNCTyUyQnFyZE9YRmJvM2dtclBzJTNE
"Ir. ANDRIYANTI ASIANTO, M.Kom",Sistem Informasi,KdgtCoUAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=WHN6NFpBdDVmSiUyQnhNbGlhRWxxN2ZHZVFLSkZHdG1MOTE2bXNPOGYzdHZzJTNE
"QORI HALIMATUL HIDAYAH, S.Pd., M.Kom.",Sistem Informasi,YRIb3ngAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=S3dJM2JuVmF4UDlseHkwOUp0dDdUNkcxWkloV3NKbTIlMkZrcTZVTnBORW1BJTNE
"MUHAMAD SOBRI, S.SI, M.T",Sistem Informasi,OjJDR4UAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=RTA4TjBvQnMlMkZ5JTJCWWJTd1pQVVdzNlBBdzFJcGhVOVd1SnRaZFEwc3EyRDglM0Q=
"RYAN PUTRA LAKSANA, S.Kom., M.M.",Sistem Informasi,Gq_algwAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=SHN3QWFoSHU3ZVFVNU54M2VaNWE1aXRlajNaM3Q1bEU0RHlvTmhtWFpHdyUzRA==
"YULHENDRI, ST, M.T",Sistem Informasi,zTQAMmcAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=RUNTWW1QY2dNJTJCZFpXN1lSR0JTOGRJMDZnN3pDJTJGVEgxMHdQcjNqRkhrQ2clM0Q=
"ALIVIA YULFITRI, S.Si, M.T.",Sistem Informasi,GzY1QkAAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Z3Y2N0xPNHQ2ZGNIYjBMS2tGODlGaEJWUXd0bW1Ub1poZ3VBQklzclVuVSUzRA==
"INDRIANI NOOR HAPSARI, ST, MT",Sistem Informasi,NULL,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Rm1RaGtNb3QzZFNLdlVRVFZ3MHZaVzJJOGVmUFBtSUdSMFlDNGM1M3ZOUSUzRA==
