name,prodi,scholar_id,sim_url
"ACENG SALIM, S.T, M.T",Sistem Informasi,2DMHSskAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=bzRaY2VFVUxnSW1BVFBORkRxeFdBZjElMkZRU0lXWDlaQSUyQlloRG5LRzlLSkklM0Q=
"ADI WIDIANTONO, S.Kom, M.Kom",Teknik Informatika,ndoQJxoAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=cTlNVXpkelklMkZ5MmR4Q3I0MG9zazB0UWxJZmZXdnpJdDQ0SnFXamRiUjEwJTNE
"AGUNG MULYO WIDODO, ST, M.Sc, Ph.D",Magister Ilmu Komputer,uEe5I-4AAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=M1NPcWNkOXRDMzh5SUdMdmp3bnZqaXZ2VHRwZ1hQcngzNmEzOHZBYTdoTSUzRA==
"AGUS HERWANTO, ST, M.M",Teknik Informatika (PJJ),apOyvRkAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=UiUyQlRDajQyS0c2U2piZCUyQkpYOUphTnNNSyUyRjBKQU4zVFJIakZBN1laJTJCdkJjJTNE
"ANIK HANIFATUL AZIZAH, S.Kom, M.IM",Sistem Informasi,kpsx9lIAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Y2NKMmNIdmklMkY2ejJwWnFWbjdqTFQyRDRadmM3ZnZpcWZIeXUwZ1ZsbzZFJTNE
"ARI PAMBUDI, S.Kom, M.Kom",Sistem Informasi,1emy4AEAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Tmh1VmUxWmc2NjNvSDlxZ0lrZkU3TU1oYXd2U1lPQUxoZ21Sak5KNWdDayUzRA==
"ARIEF ICHWANI, ST, MT",Teknik Informatika,nUOmBrIAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=VzdqNGdHZDZYJTJGY1FWcG5OSmI4Vk0lMkZyOG9KQVNXSnVqT2dDdGdCdzklMkZHRSUzRA==
"ARY PRABOWO, S.Komp., M.Kom.",Teknik Informatika,gdzs3CMAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=VCUyQnJWaG1XUHdPalF1JTJCazZIVGsxek50SmxlR2YyeVg0ZjVWVkx5bnBYcDQlM0Q=
"ASTRID CHRISAFI, S.S, M.Hum",Teknik Informatika,NULL,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=M1pLdTZwN05hMWNLamxIUXZtalNxTmUlMkZnaVkyWGtleGZYZDIxb0EyRm5rJTNE
"AZIFA HABIBA, S.Kom., M.Kom.",Teknik Informatika,w55XxHsAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=ZiUyRllkJTJCS2NGWmtDaHBLOGptUVFRTW5CSldtRUNuMmslMkZsNmRQR1pFYVlKNCUzRA==
