name,prodi,scholar_id,sim_url
"POPONG SETIAWATI, S.Kom.MMSI",Teknik Informatika (PJJ),eGCmjikAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=dGdtd29EdE8lMkJMdXdVR2FCSFY5aFlrWWplTmFtb3lYMlhsU29YQyUyRkJqT3MlM0Q=
"IMAM SUTANTO, S.Kom, M.Kom",Teknik Informatika (PJJ),Ca1YsFkAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=eGhSek4zRElrbVQlMkZmYW8xaFJMc29tUkdvR09vdDVIemxiZiUyRjdZJTJGWlV6OCUzRA==
"Dr. HANI DEWI ARIESSANTI, S.Kom, M.Kom",Teknik Informatika (PJJ),FPBQwasAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=NENzd1lSa3FOZGxlanNsUUx3UHBxQ3J5NkxSJTJGWEx2bWNMTTN5b05JamZjJTNE
"DIANA NOVITA, ST, MM",Teknik Informatika (PJJ),sitH5FIAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=STVNTiUyRmdZRTlrd0VrOW9qNllTNHJ0aTlYdExBVGxHbURDaGc5a3RxSlhnJTNE
"AGUS HERWANTO, ST, M.M",Teknik Informatika (PJJ),apOyvRkAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=UiUyQlRDajQyS0c2U2piZCUyQkpYOUphTnNNSyUyRjBKQU4zVFJIakZBN1laJTJCdkJjJTNE
