name,prodi,scholar_id,sim_url
"IKSAN RAMADHAN, , S.Kom, M.Kom",Teknik Informatika,j1TuOHYAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Zm8lMkY2QnA5NnlPYjR2WUNaWUJDUkFrUjc3TDhoeDBGejRTclJveFh1bm1ZJTNE
"IMAM SUTANTO, S.Kom, M.Kom",Teknik Informatika (PJJ),Ca1YsFkAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=eGhSek4zRElrbVQlMkZmYW8xaFJMc29tUkdvR09vdDVIemxiZiUyRjdZJTJGWlV6OCUzRA==
"Ir. ANDRIYANTI ASIANTO, M.Kom",Sistem Informasi,KdgtCoUAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=WHN6NFpBdDVmSiUyQnhNbGlhRWxxN2ZHZVFLSkZHdG1MOTE2bXNPOGYzdHZzJTNE
"Ir. NIXON ERZED, MT.",Teknik Informatika,YIQjJLQAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=WnNqN0xyTjRUQldPRyUyRkNoOFZvWGpoMlJVQ1lmWEQ2VUlac3BVVHdDUmtNJTNE
"Ir. NIZIRWAN ANWAR, MT, IPM, ASEAN.Eng., APEC Eng.",Teknik Informatika,FOwZ8hUAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=c1U4JTJGWFU5MSUyQkx1MDVsTHFCRVFYRGQ3elZTSDNHTzVJTkRYblFHbklKS0ElM0Q=
"Ir. SAWALI WAHYU, S.Kom, M.Kom",Teknik Informatika,H4BlbEQAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=ZmZrZjF2SXJCTko0Z1FSZWpTZDBhT1M5QklNTGRJdk9PM3BOOG0wdVdaQSUzRA==
"JEFRY SUNUPURWA ASRI, S.Kom., M.Kom.",Teknik Informatika,fzCJZDAAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=JTJCTXZ4WEVLdXBycmZNOW5laVpQREg4aklGaHZrY0ppZEtyN0hmeGk3Q2t3JTNE
"KARTINI, S.Kom, MMSI",Sistem Informasi,dVr6ldMAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=QzZ0Zjd4ZmlRWTR5eExIYzM5eHVid1BqVUNCTyUyQnFyZE9YRmJvM2dtclBzJTNE
"MAIMUN, ST, M.T",Teknik Informatika,wrx8LRIAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=UnVvWmVPT3BmVUNleEJHUm1xRlVLejUzJTJCTmZWMndxb0glMkJxd24xZ1ROcm8lM0Q=
"MASMUR TARIGAN, S.T, M.Kom",Teknik Informatika,r1zytiYAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=ZkJ6THZHUzFFT051VEtvY0RXU29HdkJEUHkya0hOd2JpYSUyRkZyUHllUjVNJTNE
