name,prodi,scholar_id,sim_url
"AGUNG MULYO WIDODO, ST, M.Sc, Ph.D",Magister Ilmu Komputer,uEe5I-4AAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=M1NPcWNkOXRDMzh5SUdMdmp3bnZqaXZ2VHRwZ1hQcngzNmEzOHZBYTdoTSUzRA==
"BAMBANG IRAWAN, S.Kom, M.Kom, Ph.D",Magister Ilmu Komputer,7ZqK06oAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=dFhCeW5kRmNxRTFEMFVydVNwRFZKOWpLamJraE00YmJFRkVPM1IlMkZlbUFBJTNE
"Dr. BUDI TJAHJONO, S.Kom, M.Kom",Magister Ilmu Komputer,UDCG7e0AAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Tm1CTDBwUzdxTjRkRlZZc0dRZ2haclpDclpqaGFwbTA2MlJ0cnA4Zm5RayUzRA==
"Dr. GERRY FIRMANSYAH, S.T., M.Kom",Magister Ilmu Komputer,te_vokMAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=cnlJbms3dyUyRkNOa1loWWQ5THEzZllwdHFxb1BYZk1ZRFdOVFpyMjA4bnlNJTNE
"HABIBULLAH AKBAR, S.Si, M.Sc, Ph.D",Magister Ilmu Komputer,UN80ApgAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=dlZ0SU1JMyUyQlEyTDhQZUNJTWJ2bnlMUjZERUNKVUsxMDdvTE1yUlVRazRZJTNE
"Dr. VITRI TUNDJUNGSARI, ST., M.Sc., M.M",Magister Ilmu Komputer,BVVSU0YAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=TTZReCUyRnhvVjJBbExXOE40R1VjQWRVWDhzWGprSmtUbEhrRDQ1d1RGdE9FJTNE
"MUNAWAR, S.TP, MM, Ph.D.",Magister Ilmu Komputer,S2_XsCQAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=NW5CNzFDZTQ0JTJGbVFENTBXVFhmSVZFTEdsOUNid1clMkIlMkY0RHpKZEhqQTRmRSUzRA==
