name,prodi,scholar_id,sim_url
"ANIK HANIFATUL AZIZAH, S.Kom, M.IM",Sistem Informasi,kpsx9lIAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Y2NKMmNIdmklMkY2ejJwWnFWbjdqTFQyRDRadmM3ZnZpcWZIeXUwZ1ZsbzZFJTNE
"ACENG SALIM, S.T, M.T",Sistem Informasi,2DMHSskAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=bzRaY2VFVUxnSW1BVFBORkRxeFdBZjElMkZRU0lXWDlaQSUyQlloRG5LRzlLSkklM0Q=
"ARI PAMBUDI, S.Kom, M.Kom",Sistem Informasi,1emy4AEAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Tmh1VmUxWmc2NjNvSDlxZ0lrZkU3TU1oYXd2U1lPQUxoZ21Sak5KNWdDayUzRA==
"BINASTYA ANGGARA SEKTI, ST, MM",Sistem Informasi,o9NYgC8AAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=dTMyMzJsbzZMc1ZDT05LakduRmM1MWZLbkZSSFZheGdHOGhVVUpneXlyQSUzRA==
"Dra. SRI KLIWATI, M.Kom",Sistem Informasi,NULL,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=NWFhYlNlM1ZuV3g0RXhUNVA1TnVaJTJGb1hjJTJGdFBDcDdPUjh5YUVxSSUyQnRBOCUzRA==
"BADIE UDDIN, S.T., S.Kom., M.Kom",Sistem Informasi,dR_JCbgAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=ZlZpN3M5RVRxWDJ6dFRNa0NsdGJ2WVEwMWx3RnBOWEsxR3Q3YkVreTlmZyUzRA==
"SANDFRENI, S.SI, M.T",Sistem Informasi,M1OqBEkAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=ejh4cFNvb1RsU01PbFExUkFtWWFpUEh2dlRKYXBNQ0dMaWQyY1lGODZXRSUzRA==
"Ir. ANDRIYANTI ASIANTO, M.Kom",Sistem Informasi,KdgtCoUAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=WHN6NFpBdDVmSiUyQnhNbGlhRWxxN2ZHZVFLSkZHdG1MOTE2bXNPOGYzdHZzJTNE
