name,prodi,scholar_id,sim_url
"RYAN PUTRA LAKSANA, S.Kom., M.M.",Sistem Informasi,Gq_algwAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=SHN3QWFoSHU3ZVFVNU54M2VaNWE1aXRlajNaM3Q1bEU0RHlvTmhtWFpHdyUzRA==
"SURYANI, S.Si, M.Si",Teknik Informatika,P7kf1WQAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=JTJGeGpUZnRtRkI5SjRQQU5oZGFJY01OZSUyQjNPREtDZHhZTzF2TGxzM0VNY3clM0Q=
"TAUFIK RENDI ANGGARA, S.Si, M.T.",Teknik Informatika,yP-BQgoAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=bFVJSDJ4a0NPMVQzeEdVSiUyQlc3d1BtUUIyJTJGbXh4MSUyQnV1bmNHT2tFSW1CbyUzRA==
"THEODORA MARIA PUTRI KOMUL, S.Kom., MM.",Teknik Informatika,S_m2uZIAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=WVBrbVg2TEhQR3NuSmV4dWRISFl5S2MzRiUyRkpZMlJSQWF2T2FGMHNCRGpJJTNE
"TRI ISMARDIKO WIDYAWAN, S.Kom, M.Kom",Teknik Informatika,OZqYutwAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=SFNKc0tsQSUyQm9JZiUyRlZvN0V1SVdlVEMlMkJJRW9rMEZvdG12UFN0V3FvU2syVSUzRA==
"YULHENDRI, ST, M.T",Sistem Informasi,zTQAMmcAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=RUNTWW1QY2dNJTJCZFpXN1lSR0JTOGRJMDZnN3pDJTJGVEgxMHdQcjNqRkhrQ2clM0Q=
"ALIVIA YULFITRI, S.Si, M.T.",Sistem Informasi,GzY1QkAAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Z3Y2N0xPNHQ2ZGNIYjBMS2tGODlGaEJWUXd0bW1Ub1poZ3VBQklzclVuVSUzRA==
"BADIE UDDIN, S.T., S.Kom., M.Kom",Sistem Informasi,dR_JCbgAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=ZlZpN3M5RVRxWDJ6dFRNa0NsdGJ2WVEwMWx3RnBOWEsxR3Q3YkVreTlmZyUzRA==
"MALABAY, S.Kom, M.Kom",Teknik Informatika,Xj3psz4AAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=SFRBcEFDZmZyQjBxVyUyRjBmUkI4ak01V1RYNlpqRWo1R3R6aG1MQmpkMll3JTNE
"ANANDA PUTRIANI, S.Pd., M.Pd.",Teknik Informatika,_ClcL6sAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=RmIyNkE3SHdJa29MRVZMWUVYUmZ5eGZPSUlEd1ZvJTJGdkowQ2o1T2kyM3MwJTNE
