name,prodi,scholar_id,sim_url
"INDRIANI NOOR HAPSARI, ST, MT",Sistem Informasi,NULL,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Rm1RaGtNb3QzZFNLdlVRVFZ3MHZaVzJJOGVmUFBtSUdSMFlDNGM1M3ZOUSUzRA==
"MUHAMAD BAHRUL ULUM, S.Kom, M.Kom, S. Kom",Teknik Informatika,GB_9iNkAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=TlNaTUpTaXVySjJWWE5XbFFNeXRLaEprSXRBMDQ0c0VDdEVGR2xtMk42dyUzRA==
"NOVIANDI, S.Kom, M.Kom",Teknik Informatika,aLyMFX4AAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=SXUySFJuTTNiZ1VyOHFoMkFWNjl3JTJCODdjMEZSZUFzNERSWTUzRjJpeFU4JTNE
"SANDFRENI, S.SI, M.T",Sistem Informasi,M1OqBEkAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=ejh4cFNvb1RsU01PbFExUkFtWWFpUEh2dlRKYXBNQ0dMaWQyY1lGODZXRSUzRA==
"SILVIA RATNA JUWITA, S.Pd, M.Pd",Teknik Informatika,qjJ9-BsAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=RmsxeVR4d2p4bjB3RW1xQmo5OFhHakdudTEwRDc0VVpKbHJ5WmFrYnVOQSUzRA==
