name,prodi,scholar_id,sim_url
"MUHAMAD HADI ARFIAN, S.Kom, MM",Teknik Informatika,RAd1nGIAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=NnVwRkdiMkhvOXF0SXNFejZ4Mzc1dEVlaFJtN3V4TndaeWx3VHVlZXQwTSUzRA==
"MUHAMAD SOBRI, S.SI, M.T",Sistem Informasi,OjJDR4UAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=RTA4TjBvQnMlMkZ5JTJCWWJTd1pQVVdzNlBBdzFJcGhVOVd1SnRaZFEwc3EyRDglM0Q=
"MUNAWAR, S.TP, MM, Ph.D.",Magister Ilmu Komputer,S2_XsCQAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=NW5CNzFDZTQ0JTJGbVFENTBXVFhmSVZFTEdsOUNid1clMkIlMkY0RHpKZEhqQTRmRSUzRA==
"NUGROHO BUDHISANTOSA, ST. MMSI.",Teknik Informatika,qcIbjOoAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=eHlCaWlnJTJGc1RXR0t4bkRqR25rJTJGVUt5UDc2T0oyeklxTEJ6dEpDbDU3VVUlM0Q=
"NYOMAN PUTRA ANTARA, S.Pd.M.Si",Teknik Informatika,NULL,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=bTBHM3Z2eTdwcHNLR2xCOXVyam0lMkY1N09QM1FVYXNHemxXSUpFd2JJaHNRJTNE
"POPONG SETIAWATI, S.Kom.MMSI",Teknik Informatika (PJJ),eGCmjikAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=dGdtd29EdE8lMkJMdXdVR2FCSFY5aFlrWWplTmFtb3lYMlhsU29YQyUyRkJqT3MlM0Q=
"QORI HALIMATUL HIDAYAH, S.Pd., M.Kom.",Sistem Informasi,YRIb3ngAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=S3dJM2JuVmF4UDlseHkwOUp0dDdUNkcxWkloV3NKbTIlMkZrcTZVTnBORW1BJTNE
"RADEN TEDDY ISWAHYUDI, S.T., M.Kom.",Teknik Informatika,NULL,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=d0dLNm9UeGNBVSUyRmV4ajVzQW5EazY5TEdJQmNRaHFyUmhyS3d3VmM5QU00JTNE
"RANNY MEILISA, S.Kom., M.Pd.T.",Teknik Informatika,KVRBg7cAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=ZE5sSkVRb0xLSHdlMG9URWlyOENsWUlpTTUlMkIxSlNvMUE5NEFzUmhRUm1nJTNE
"RATNA YULIKA GO, S.Kom., M.T.I.",Teknik Informatika,yRbk0z8AAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=TGZYZUhsNVNLM0txcnJiQ0FyVmhDazVPRU96QzhLbmUlMkJWb1BhajFyZCUyQkUlM0Q=
